ID	year	month	day	gwdepth
00000004	2013	1	4	8.09
00000004	2013	1	5	8.09
00000004	2013	1	6	8.1
00000004	2013	1	7	8.13
00000004	2013	1	8	8.14
00000004	2013	1	9	8.18
00000004	2013	1	10	8.13
00000004	2013	1	11	8.11
00000004	2013	1	12	8.05
00000004	2013	1	13	8.01
00000004	2013	1	14	7.87
00000004	2013	1	15	7.69
00000004	2013	1	16	7.67
00000004	2013	1	17	7.66
00000004	2013	1	18	7.66
00000004	2013	1	19	7.61
00000004	2013	1	20	7.63
00000004	2013	1	21	7.69
00000004	2013	1	22	7.77
00000004	2013	1	23	7.77
00000004	2013	1	24	7.81
00000004	2013	1	25	7.81
00000004	2013	1	26	7.89
00000004	2013	1	27	7.91
00000004	2013	1	28	7.91
00000004	2013	1	29	7.85
00000004	2013	1	30	7.74
00000004	2013	1	31	7.8
00000004	2013	2	1	7.85
00000004	2013	2	2	7.78
00000004	2013	2	3	7.79
00000004	2013	2	4	7.8
00000004	2013	2	5	7.84
00000004	2013	2	6	7.89
00000004	2013	2	7	7.86
00000004	2013	2	8	7.96
00000004	2013	2	9	7.97
00000004	2013	2	10	7.86
00000004	2013	2	11	7.69
00000004	2013	2	12	7.56
00000004	2013	2	13	7.55
00000004	2013	2	14	7.55
00000004	2013	2	15	7.55
00000004	2013	2	16	7.6
00000004	2013	2	17	7.64
00000004	2013	2	18	7.61
00000004	2013	2	19	7.63
00000004	2013	2	20	7.65
00000004	2013	2	21	7.58
00000004	2013	2	22	7.55
00000004	2013	2	23	7.55
00000004	2013	2	24	7.55
00000004	2013	2	25	7.55
00000004	2013	2	26	7.55
00000004	2013	2	27	7.55
00000004	2013	2	28	7.55
00000004	2013	3	1	7.56
00000004	2013	3	2	7.58
00000004	2013	3	3	7.6
00000004	2013	3	4	7.58
00000004	2013	3	5	7.61
00000004	2013	3	6	7.71
00000004	2013	3	7	7.71
00000004	2013	3	8	7.71
00000004	2013	3	9	7.68
00000004	2013	3	10	7.66
00000004	2013	3	11	7.56
00000004	2013	3	12	7.55
00000004	2013	3	13	7.55
00000004	2013	3	14	7.56
00000004	2013	3	15	7.55
00000004	2013	3	16	7.55
00000004	2013	3	17	7.55
00000004	2013	3	18	7.56
00000004	2013	3	19	7.64
00000004	2013	3	20	7.65
00000004	2013	3	21	7.64
00000004	2013	3	22	7.65
00000004	2013	3	23	7.59
00000004	2013	3	24	7.55
00000004	2013	3	25	7.57
00000004	2013	3	26	7.62
00000004	2013	3	27	7.62
00000004	2013	3	28	7.61
00000004	2013	3	29	7.6
00000004	2013	3	30	7.58
00000004	2013	3	31	7.55
00000004	2013	4	1	7.55
00000004	2013	4	2	7.55
00000004	2013	4	3	7.55
00000004	2013	4	4	7.55
00000004	2013	4	5	7.55
00000004	2013	4	6	7.55
00000004	2013	4	7	7.55
00000004	2013	4	8	7.55
00000004	2013	4	9	7.55
00000004	2013	4	10	7.55
00000004	2013	4	11	7.55
00000004	2013	4	12	7.55
00000004	2013	4	13	7.55
00000004	2013	4	14	7.55
00000004	2013	4	15	7.55
00000004	2013	4	16	7.55
00000004	2013	4	17	7.55
00000004	2013	4	18	7.55
